Offense Code,District,Frequency
3202,b3,10
3202,c11,24
3202,c6,20
3202,d14,21
3202,d4,40
3202,e13,6
3202,e18,19
3202,e5,26
3203,a1,2
3203,b3,3
3203,c11,2
3203,c6,1
3203,d14,1
3203,d4,1
3205,a1,21
3205,a15,3
3205,a7,46
3205,b2,42
3205,b3,63
3205,c11,126
3205,c6,51
3205,d14,34
3205,d4,23
3205,e13,21
3205,e18,38
3205,e5,23
3207,a1,575
3207,a15,57
3207,a7,127
3207,b2,338
3207,b3,167
3207,c11,475
3207,c6,344
3207,d14,293
3207,d4,573
3207,e13,265
3207,e18,195
3207,e5,273
3208,a1,73
3208,a15,10
3208,a7,15
3208,b2,82
3208,b3,134
3208,c11,172
3208,c6,28
3208,d14,26
3208,d4,217
3208,e13,30
3208,e18,37
3208,e5,32
3301,a1,219
3301,a15,175
3301,a7,523
3301,b2,3008
3301,b3,2957
3301,c11,2617
3301,c6,511
3301,d14,472
3301,d4,656
3301,e13,517
3301,e18,942
3301,e5,490
3302,a1,5
3302,b2,14
3302,c11,3
3302,c6,1
3302,d4,2
3302,e5,2
3303,a1,1
3303,a15,1
3303,a7,1
3303,b2,20
3303,b3,1
3303,c11,1
3303,d4,1
3303,e13,1
3304,a1,16
3304,a15,3
3304,a7,13
3304,b2,409
3304,b3,16
3304,c11,22
3304,c6,22
3304,d14,57
3304,d4,26
3304,e13,10
3304,e18,15
3304,e5,10
3305,a1,217
3305,a7,2
3305,b2,11
3305,b3,1
3305,c11,8
3305,c6,8
3305,d14,5
3305,d4,23
3305,e13,2
3305,e5,1
334,e13,1
335,d4,1
338,c11,1
339,a1,1
339,b2,1
339,c11,1
3402,a1,18
3402,a15,11
3402,a7,23
3402,b2,34
3402,b3,42
3402,c11,43
3402,c6,19
3402,d14,21
3402,d4,22
3402,e13,13
3402,e18,16
3402,e5,21
3403,a1,3
3403,a15,1
3403,b2,1
3403,c6,2
3403,d14,3
3403,d4,1
3403,e13,4
3403,e18,2
3403,e5,10
3410,a1,1313
3410,a15,343
3410,a7,550
3410,b2,946
3410,b3,640
3410,c11,1173
3410,c6,1351
3410,d14,1487
3410,d4,1982
3410,e13,838
3410,e18,303
3410,e5,298
349,d4,1
3501,a1,99
3501,a15,45
3501,a7,143
3501,b2,758
3501,b3,963
3501,c11,600
3501,c6,144
3501,d14,185
3501,d4,278
3501,e13,189
3501,e18,234
3501,e5,122
3502,a1,96
3502,a15,45
3502,a7,165
3502,b2,817
3502,b3,1037
3502,c11,668
3502,c6,177
3502,d14,229
3502,d4,318
3502,e13,246
3502,e18,388
3502,e5,177
3503,a1,8
3503,a15,4
3503,a7,15
3503,b2,143
3503,b3,153
3503,c11,67
3503,c6,17
3503,d14,35
3503,d4,46
3503,e13,27
3503,e18,37
3503,e5,40
351,a1,41
351,a15,5
351,a7,7
351,b2,14
351,b3,2
351,c11,21
351,c6,20
351,d14,15
351,d4,27
351,e13,8
351,e18,7
351,e5,14
361,a1,67
361,a15,12
361,a7,23
361,b2,164
361,b3,78
361,c11,77
361,c6,35
361,d14,22
361,d4,76
361,e13,38
361,e18,33
361,e5,8
3620,a1,14
3620,a15,5
3620,a7,21
3620,b2,30
3620,b3,28
3620,c11,8
3620,c6,9
3620,d14,7
3620,d4,30
3620,e13,6
3620,e18,1
3620,e5,6
3625,a1,40
3625,a15,10
3625,a7,20
3625,b2,14
3625,b3,15
3625,c11,17
3625,c6,27
3625,d14,41
3625,d4,53
3625,e13,31
3625,e18,11
3625,e5,27
371,a1,2
371,a15,1
371,a7,4
371,b2,21
371,b3,17
371,c11,17
371,c6,6
371,d14,6
371,d4,10
371,e13,4
371,e18,8
371,e5,8
3801,a1,299
3801,a15,113
3801,a7,187
3801,b2,473
3801,b3,327
3801,c11,328
3801,c6,198
3801,d14,173
3801,d4,346
3801,e13,131
3801,e18,182
3801,e5,116
3802,a1,386
3802,a15,187
3802,a7,374
3802,b2,1010
3802,b3,642
3802,c11,868
3802,c6,507
3802,d14,589
3802,d4,662
3802,e13,378
3802,e18,521
3802,e5,353
3803,a1,262
3803,a15,117
3803,a7,223
3803,b2,1008
3803,b3,617
3803,c11,667
3803,c6,329
3803,d14,279
3803,d4,512
3803,e13,329
3803,e18,416
3803,e5,284
3805,a1,73
3805,a15,9
3805,a7,25
3805,b2,139
3805,b3,89
3805,c11,119
3805,c6,62
3805,d14,37
3805,d4,73
3805,e13,50
3805,e18,38
3805,e5,39
3807,a1,95
3807,a15,19
3807,a7,23
3807,b2,146
3807,b3,49
3807,c11,89
3807,c6,39
3807,d14,45
3807,d4,73
3807,e13,66
3807,e18,33
3807,e5,41
381,a1,6
381,a15,1
381,a7,4
381,b2,21
381,b3,14
381,c11,13
381,c6,5
381,d14,2
381,d4,12
381,e13,5
381,e18,3
3810,a1,118
3810,a15,32
3810,a7,16
3810,b2,146
3810,b3,32
3810,c11,75
3810,c6,45
3810,d14,114
3810,d4,216
3810,e13,71
3810,e18,12
3810,e5,30
3811,a1,63
3811,a15,23
3811,a7,6
3811,b2,53
3811,b3,15
3811,c11,29
3811,c6,33
3811,d14,56
3811,d4,94
3811,e13,38
3811,e18,3
3811,e5,8
3820,a1,199
3820,a15,25
3820,a7,77
3820,b2,297
3820,b3,130
3820,c11,185
3820,c6,118
3820,d14,88
3820,d4,304
3820,e13,88
3820,e18,61
3820,e5,62
3821,a1,94
3821,a15,5
3821,a7,16
3821,b2,66
3821,b3,26
3821,c11,39
3821,c6,32
3821,d14,22
3821,d4,82
3821,e13,15
3821,e18,8
3821,e5,6
3830,a1,75
3830,a15,25
3830,a7,40
3830,b2,312
3830,b3,172
3830,c11,193
3830,c6,71
3830,d14,64
3830,d4,136
3830,e13,71
3830,e18,66
3830,e5,40
3831,a1,1183
3831,a15,405
3831,a7,529
3831,b2,2757
3831,b3,1737
3831,c11,2713
3831,c6,1265
3831,d14,1390
3831,d4,1384
3831,e13,929
3831,e18,1026
3831,e5,834
402,b2,1
403,a1,2
403,b2,2
403,b3,1
403,e13,1
404,e13,1
413,a1,663
413,a15,79
413,a7,198
413,b2,1043
413,b3,668
413,c11,644
413,c6,329
413,d14,185
413,d4,535
413,e13,205
413,e18,184
413,e5,135
